name,latitude,longitude,country
Barcelona-Arc de Triomf,41.391568,2.17983,ES
Barcelona-Clot-Arago,41.409106,2.18739,ES
Barcelona-Torre del Baro,41.460524,2.181421,ES
Barcena,43.128751,-4.053865,ES
Barra de Mino,42.400787,-7.80251,ES
Barracas,40.01175,-0.696313,ES
Barrientos,42.414846,-5.965025,ES
Basurto Hospital,43.259844,-2.953745,ES
Banos de Molgas,42.2375,-7.68306,ES
Beasain,43.046077,-2.201952,ES
Becerril,42.1047,-4.647171,ES
Begonte,43.149107,-7.686228,ES
Bell-Lloc d'Urgell,41.627813,0.744675,ES
Bellavista (Sevilla),37.321485,-5.964321,ES
Bellpuig,41.636685,1.012625,ES
Bellvitge,41.354658,2.115521,ES
Belmonte,37.46188,-6.94753,ES
Benacazon,37.357155,-6.208256,ES
Benalmadena-Arroyo de la Miel,36.599023,-4.536747,ES
Benalua de Guadix,37.345487,-3.163537,ES
Benaojan-Montejaque,36.713491,-5.246617,ES
Benasque-Bus,42.603089,0.522259,ES
Benicassim,40.058126,0.057863,ES
Beniel,38.044605,-0.999474,ES
Benifaio-Almussafes,39.284244,-0.430106,ES
Beniganim,38.9386,-0.453865,ES
Beranga,43.41371,-3.57713,ES
Bercedo Montija,43.087724,-3.450868,ES
Betanzos-Infesta,43.270808,-8.225983,ES
Biescas-Bus,42.628584,-0.32144,ES
Bilbao,43.263066,-2.934945,ES
Bilbao la Concordia,43.260101,-2.926591,ES
Binefar,41.849559,0.291277,ES
Bordils-Juia,42.037002,2.915363,ES
Bonar,42.862562,-5.328284,ES
Brazatortas-Veredas,38.668798,-4.316979,ES
Branuelas,42.632762,-6.200902,ES
Briones,42.544888,-2.779544,ES
Bubierca,41.316831,-1.855049,ES
Bueu-Bus,42.327009,-8.785889,ES
Bufali,38.866552,-0.510847,ES
Burgos Rosa Manzano,42.371189,-3.666297,ES
Burriana-Alquerias Nino Perdido,39.8964,-0.103867,ES
Busdongo,42.984294,-5.705444,ES
Bunol,39.427434,-0.787482,ES
Cabanas-Areal,43.415822,-8.168821,ES
Cabanas de Aliste,41.854566,-6.246927,ES
Cabanas de Ebro,41.788064,-1.167438,ES
Cabanas de Virtus,42.994884,-3.858367,ES
Cabeza de Buey,38.724,-5.22659,ES
Cabezon de la Sal,43.307753,-4.231878,ES
Cabra del Santo Cristo y Alicun,37.6567,-3.26258,ES
Cadagua,43.068107,-3.347375,ES
Cadiz-Cortadura,36.494316,-6.268142,ES
Cadiz-Estadio,36.502982,-6.272025,ES
Calaf,41.730245,1.515176,ES
Calafell,41.189499,1.570001,ES
Calahorra,42.310634,-1.957392,ES
Calamonte,38.887344,-6.382862,ES
Calatayud,41.346298,-1.63849,ES
Calanas,37.652136,-6.876271,ES
Caldearenas-Aquilue,42.397982,-0.49944,ES
Caldelas,42.055637,-8.566396,ES
Callosa de Segura,38.122928,-0.873679,ES
Calzada de Asturias,43.535288,-5.697731,ES
Calzada de Bureba,42.622922,-3.246383,ES
Camallera,42.122597,2.965667,ES
Camango,43.448776,-5.019064,ES
Camarles-Deltebre,40.774593,0.670712,ES
Cambre,43.290692,-8.352399,ES
Camp-Redo,40.758988,0.555344,ES
Campanario,38.853382,-5.641495,ES
Campillo,41.259822,-5.017805,ES
Campillos,37.032042,-4.863802,ES
Campo de Criptana,39.393463,-3.116353,ES
Campomanes,43.110143,-5.816236,ES
Camporrobles,39.644667,-1.402191,ES
Campus Universitario Rabanales / Cordoba,37.912634,-4.720802,ES
Canabal,42.482759,-7.587695,ES
Cancienes,43.507251,-5.869452,ES
Candanchu-Bus,42.789088,-0.528473,ES
Cangas-Bus,43.350075,-5.125818,ES
Cantillana,37.574406,-5.803085,ES
Capcanes,41.102313,0.780758,ES
Caracenilla,40.1535,-2.56845,ES
Carancos,43.355387,-5.434392,ES
Carbajales de Alba,41.681137,-5.97148,ES
Carboneras de Guadazaon,39.900266,-1.80729,ES
Carcaixent,39.12065,-0.454638,ES
Cardedeu,41.63638,2.35636,ES
Cardenosa de Avila,40.73976,-4.751158,ES
Carinena,41.335745,-1.22878,ES
Carrascosa de Henares,40.906006,-3.013966,ES
Carrion de los Cespedes,37.369209,-6.334635,ES
Cartama,36.73387,-4.608427,ES
Casariche,37.294566,-4.764425,ES
Casas de Millan,39.804216,-6.332388,ES
Casatejada,39.892059,-5.67755,ES
Casetas,41.722532,-1.020608,ES
Castellbell i el Vilar-Monistrol de Montserrat,41.628613,1.868866,ES
Castelldefels,41.278798,1.979334,ES
Castellnou de Seana,41.640461,0.989919,ES
Castiello,42.650309,-0.555497,ES
Castiello-Pueblo,42.627773,-0.545465,ES
Castillejo del Romeral,40.1372,-2.50689,ES
Castillejo-Anover,39.950057,-3.737768,ES
Castrejon de la Pena,42.810596,-4.598458,ES
Castrelo do Val-Verin-Campobecerros,42.0626,-7.33335,ES
Castuera,38.734635,-5.540609,ES
Catarroja,39.399792,-0.399004,ES
Catoira,42.67218,-8.725433,ES
Cazalla-Constantina,37.932545,-5.704671,ES
Canada del Hoyo,39.953833,-1.889352,ES
Canaveral,39.788854,-6.374979,ES
Cecebre,43.287869,-8.307848,ES
Cella,40.455143,-1.244556,ES
Cellers-Llimiana,42.062729,0.875639,ES
Celorio,43.424721,-4.811305,ES
Celra,42.027312,2.874921,ES
Cenicero San Isidro,42.4822,-2.6465,ES
Cerceda,43.161155,-8.471019,ES
Cerceda-Meirama,43.206436,-8.446615,ES
Cercedilla,40.737701,-4.06574,ES
Cerdanyola del Valles,41.492436,2.147531,ES
Cerezal de la Guzpena,42.779934,-5.006119,ES
Cervera,41.673658,1.274769,ES
Cesantes,42.310283,-8.616367,ES
Cesuras,43.17332,-8.20084,ES
Cetina,41.295806,-1.961877,ES
Ceuta-Barco,35.895039,-5.321664,ES
Chapela,42.268284,-8.67078,ES
Cheste,39.490897,-0.686137,ES
Chilches,39.782175,-0.190526,ES
Chillaron,40.102784,-2.221036,ES
Chiprana,41.2315,-0.155806,ES
Chiva,39.471085,-0.722867,ES
Cicero,43.417084,-3.490408,ES
Cillamayor,42.857843,-4.277651,ES
Cinco Casas,39.168463,-3.232583,ES
Circuit Ricardo Tormo,39.495473,-0.625316,ES
Cisneros,42.191365,-4.850345,ES
Cistierna,42.803117,-5.130835,ES
Cizurmayor,42.7974,-1.67761,ES
Cinera,42.8894,-5.64045,ES
Cocentaina,38.74073,-0.447078,ES
Colera,42.4068,3.154377,ES
Collado Mediano,40.69253,-4.035931,ES
Colloto,43.379128,-5.791561,ES
Colombres,43.382867,-4.556973,ES
Cortes de la Frontera,36.598636,-5.332814,ES
Cortes de Navarra,41.914803,-1.4199,ES
Coscurita,41.4399,-2.4698,ES
Coslada,40.423582,-3.561121,ES
Covas,42.475658,-6.831064,ES
Crespos,40.869951,-4.967843,ES
Crevillent,38.224587,-0.781081,ES
Cuadros,42.7126,-5.63595,ES
Cubelles,41.204071,1.675751,ES
Cubillas de Santa Marta,41.809144,-4.579617,ES
Cuenca Estacion,40.067288,-2.136562,ES
Cuenca Fernando Zobel,40.034916,-2.144412,ES
Cuencabuena,41.009229,-1.254777,ES
Cuevas,43.431184,-5.073305,ES
Cuevas de Velasco,40.155164,-2.408246,ES
Cullera,39.17792,-0.263365,ES
Cumbres Mayores,38.053109,-6.630973,ES
Cunit,41.194911,1.633268,ES
Daimiel,39.061357,-3.603379,ES
Madrid Delicias,40.400273,-3.692454,ES
Denia-Bus,38.837446,0.105672,ES
Don Benito,38.967411,-5.862198,ES
Dos Hermanas,37.287255,-5.923369,ES
